ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_EN,ADM2_PCODE,ADM2_EN,ADM2_TYPE,ADM3_PCODE,ADM3_EN
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,District,MG11101001,1er Arrondissement
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,District,MG11101002,2e Arrondissement
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,District,MG11101003,3e Arrondissement
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,District,MG11101004,4e Arrondissement
MG,Madagascar,MG11,Analamanga,MG11101005A,5e Arrondissement,District,MG11101005,5e Arrondissement
MG,Madagascar,MG11,Analamanga,MG11101006A,6e Arrondissement,District,MG11101006,6e Arrondissement
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,District,MG11102010,Alasora
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,District,MG11102039,Ankadikely Ilafy
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,District,MG11102050,Ambohimanambola
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,District,MG11102079,Sabotsy Namehana
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,District,MG11102099,Ambohimangakely
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,District,MG11102210,Manandriana
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,District,MG11102230,Ambohimalaza Miray
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,District,MG11102279,Fiaferana
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,District,MG11102319,Ambohimanga Rova
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,District,MG11102350,Viliahazo
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,District,MG11102379,Talata Volonondry
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,District,MG11102390,Anjeva Gara
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,District,MG11102410,Masindray
MG,Madagascar,MG11,Analamanga,MG11102,Antananarivo Avaradrano,District,MG11102430,Ankadinandriana
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103010,Ambohidratrimo
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103030,Anosiala
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103050,Talatamaty
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103070,Antehiroka
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103090,Iarinarivo
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103111,Ivato Firaisana
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103112,Ivato Aeroport
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103130,Ambohitrimanjaka
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103150,Mahitsy
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103171,Merimandroso
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103172,Ambatolampy
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103190,Ampangabe
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103210,Ampanotokana
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103230,Mananjara
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103251,Manjakavaradrano
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103252,Antsahafilo
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103270,Ambohimanjaka
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103290,Fiadanana
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103310,Mahabo
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103330,Mahereza
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103350,Antanetibe
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103370,Ambohipihaonana
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103390,Ambato
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103410,Anjanadoria
MG,Madagascar,MG11,Analamanga,MG11103,Ambohidratrimo,District,MG11103430,Avaratsena
MG,Madagascar,MG11,Analamanga,MG11104,Ankazobe,District,MG11104010,Ankazobe
MG,Madagascar,MG11,Analamanga,MG11104,Ankazobe,District,MG11104030,Talata Angavo
MG,Madagascar,MG11,Analamanga,MG11104,Ankazobe,District,MG11104050,Ambohitromby
MG,Madagascar,MG11,Analamanga,MG11104,Ankazobe,District,MG11104071,Antotohazo
MG,Madagascar,MG11,Analamanga,MG11104,Ankazobe,District,MG11104072,Marondry
MG,Madagascar,MG11,Analamanga,MG11104,Ankazobe,District,MG11104090,Fihaonana
MG,Madagascar,MG11,Analamanga,MG11104,Ankazobe,District,MG11104110,Mahavelona
MG,Madagascar,MG11,Analamanga,MG11104,Ankazobe,District,MG11104130,Fiadanana
MG,Madagascar,MG11,Analamanga,MG11104,Ankazobe,District,MG11104150,Tsaramasoandro
MG,Madagascar,MG11,Analamanga,MG11104,Ankazobe,District,MG11104170,Ambolotarakely
MG,Madagascar,MG11,Analamanga,MG11104,Ankazobe,District,MG11104190,Antakavana
MG,Madagascar,MG11,Analamanga,MG11104,Ankazobe,District,MG11104210,Kiangara
MG,Madagascar,MG11,Analamanga,MG11104,Ankazobe,District,MG11104230,Miantso
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106011,Manjakandriana
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106012,Ambatolaona
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106030,Sambaina
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106050,Ambohibary
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106070,Ambatomanga
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106090,Alarobia
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106110,Mantasoa
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106130,Ranovao
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106150,Miadanandriana
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106170,Nandihizana
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106190,Anjepy
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106210,Ambanitsena
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106230,Ambohitrandriamanitra
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106251,Ambatomena
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106252,Ambohibao Sud
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106271,Ambohitseheno
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106272,Antsahalalina
MG,Madagascar,MG11,Analamanga,MG11115,Andramasina,District,MG11115031,Sabotsy Ambohitromby
MG,Madagascar,MG11,Analamanga,MG11115,Andramasina,District,MG11115032,Andohariana
MG,Madagascar,MG11,Analamanga,MG11115,Andramasina,District,MG11115050,Mandrosoa
MG,Madagascar,MG11,Analamanga,MG11117,Antananarivo Atsimondrano,District,MG11117470,Ambatofahavalo
MG,Madagascar,MG12,Vakinankaratra,MG12108,Antsirabe I,District,MG12108001,Antsenakely Andraikiba
MG,Madagascar,MG12,Vakinankaratra,MG12108,Antsirabe I,District,MG12108002,Ampatana Mandriankeniheny
MG,Madagascar,MG12,Vakinankaratra,MG12114,Antanifotsy,District,MG12114050,Ampitatafika
MG,Madagascar,MG12,Vakinankaratra,MG12114,Antanifotsy,District,MG12114079,Ambatomiady
MG,Madagascar,MG12,Vakinankaratra,MG12114,Antanifotsy,District,MG12114090,Andranofito
MG,Madagascar,MG21,Haute Matsiatra,MG21205,Ambalavao,District,MG21205290,Fenoarivo
MG,Madagascar,MG21,Haute Matsiatra,MG21208,Ambohimahasoa,District,MG21208010,Ambohimahasoa
MG,Madagascar,MG21,Haute Matsiatra,MG21208,Ambohimahasoa,District,MG21208030,Ampitana
MG,Madagascar,MG22,Amoron I Mania,MG22223,Manandriana,District,MG22223090,Ambohipo
MG,Madagascar,MG22,Amoron I Mania,MG22223,Manandriana,District,MG22223110,Anjoman'ankona
MG,Madagascar,MG22,Amoron I Mania,MG22223,Manandriana,District,MG22223130,Vinany Andakatanikely
MG,Madagascar,MG23,Vatovavy Fitovinany,MG23211,Ikongo,District,MG23211111,Ankarimbelo
MG,Madagascar,MG23,Vatovavy Fitovinany,MG23211,Ikongo,District,MG23211112,Antodinga
MG,Madagascar,MG23,Vatovavy Fitovinany,MG23211,Ikongo,District,MG23211113,Kalafotsy
MG,Madagascar,MG25,Atsimo Atsinanana,MG25222,Befotaka,District,MG25222012,Antondabe
MG,Madagascar,MG25,Atsimo Atsinanana,MG25222,Befotaka,District,MG25222031,Marovitsika Sud
MG,Madagascar,MG25,Atsimo Atsinanana,MG25222,Befotaka,District,MG25222032,Antaninarenina
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106290,Ambohitrony
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106310,Merikanjaka
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106330,Anjoma Betoho
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106351,Ankazondandy
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106352,Soavinandriana
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106371,Ambohitrolomahitsy
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106372,Ampaneva
MG,Madagascar,MG11,Analamanga,MG11106,Manjakandriana,District,MG11106390,Sadabe
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107019,Anjozorobe
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107070,Mangamila
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107099,Ambongamarina
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107110,Tsarasaotra
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107130,Ambohimanarina Marovazaha
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107150,Betatao
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107170,Alakamisy
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107190,Analaroa
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107211,Antanetibe
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107212,Belanitra
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107230,Ambatomanoina
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107250,Amparatanjona
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107270,Amboasary Nord
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107290,Androvakely
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107310,Ambohibary Vohilena
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107330,Ambohimirary
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107350,Marotsipoy
MG,Madagascar,MG11,Analamanga,MG11107,Anjozorobe,District,MG11107370,Beronono
MG,Madagascar,MG11,Analamanga,MG11115,Andramasina,District,MG11115010,Andramasina
MG,Madagascar,MG11,Analamanga,MG11115,Andramasina,District,MG11115071,Alatsinainy Bakaro
MG,Madagascar,MG11,Analamanga,MG11115,Andramasina,District,MG11115072,Antotohazo
